yyyy,mm,dd,hh,wh(m),q(m3/s)
2016,8,12,14,737.603,2.834
2016,8,12,15,737.6,2.803
2016,8,12,16,737.599,2.793
2016,8,12,17,737.599,2.793
2016,8,12,18,737.601,2.814
2016,8,12,19,737.601,2.814
2016,8,12,20,737.601,2.814
2016,8,12,21,737.604,2.844
2016,8,12,22,737.604,2.844
2016,8,12,23,737.604,2.844
2016,8,13,0,737.604,2.844
2016,8,13,1,737.605,2.854
2016,8,13,2,737.606,2.865
2016,8,13,3,737.607,2.875
2016,8,13,4,737.61,2.906
2016,8,13,5,737.611,2.917
2016,8,13,6,737.614,2.948
2016,8,13,7,737.615,2.958
2016,8,13,8,737.617,2.98
2016,8,13,9,737.619,3.001
2016,8,13,10,737.62,3.011
2016,8,13,11,737.622,3.032
2016,8,13,12,737.623,3.043
2016,8,13,13,737.624,3.054
2016,8,13,14,737.626,3.075
2016,8,13,15,737.629,3.108
2016,8,13,16,737.634,3.161
2016,8,13,17,737.636,3.183
2016,8,13,18,737.638,3.205
2016,8,13,19,737.64,3.227
2016,8,13,20,737.642,3.249
2016,8,13,21,737.643,3.26
2016,8,13,22,737.646,3.293
2016,8,13,23,737.647,3.304
2016,8,14,0,737.649,3.326
2016,8,14,1,737.65,3.338
2016,8,14,2,737.652,3.36
2016,8,14,3,737.654,3.382
2016,8,14,4,737.656,3.405
2016,8,14,5,737.657,3.416
2016,8,14,6,737.658,3.428
2016,8,14,7,737.658,3.428
2016,8,14,8,737.66,3.45
2016,8,14,9,737.661,3.462
2016,8,14,10,737.661,3.462
2016,8,14,11,737.663,3.485
2016,8,14,12,737.663,3.485
2016,8,14,13,737.663,3.485
2016,8,14,14,737.663,3.485
2016,8,14,15,737.663,3.485
2016,8,14,16,737.663,3.485
2016,8,14,17,737.663,3.485
2016,8,14,18,737.663,3.485
2016,8,14,19,737.663,3.485
2016,8,14,20,737.664,3.496
2016,8,14,21,737.664,3.496
2016,8,14,22,737.664,3.496
2016,8,14,23,737.664,3.496
2016,8,15,0,737.664,3.496
2016,8,15,1,737.664,3.496
2016,8,15,2,737.664,3.496
2016,8,15,3,737.663,3.485
2016,8,15,4,737.663,3.485
2016,8,15,5,737.662,3.473
2016,8,15,6,737.662,3.473
2016,8,15,7,737.661,3.462
2016,8,15,8,737.66,3.45
2016,8,15,9,737.66,3.45
2016,8,15,10,737.658,3.428
2016,8,15,11,737.657,3.416
2016,8,15,12,737.656,3.405
2016,8,15,13,737.656,3.405
2016,8,15,14,737.654,3.382
2016,8,15,15,737.653,3.371
2016,8,15,16,737.652,3.36
2016,8,15,17,737.651,3.349
2016,8,15,18,737.651,3.349
2016,8,15,19,737.649,3.326
2016,8,15,20,737.649,3.326
